ID,Marque,Type_Vehicule,Age_Vehicule,Valeur_Vehicule_DT,Kilometrage,Chevaux_Fiscaux,Place_Parking,Voiture_Entreprise,Age_Conducteur,Annees_Experience,Nombre_Accidents,Ratio_Accidents_Experience,Score_Vehicule,Score_Conducteur,Type_Vehicule_Classe,Type_Conducteur_Classe,Assurance_Recommandee
660,Volvo,Voiture de luxe,2,122213,39999,17,False,True,30,12,0,0.0,3.6,3.6,High Cost,Expert,Tout Risque
661,Infiniti,Voiture de luxe,5,101127,88451,16,False,True,60,18,0,0.0,3.05,3.4,High Cost,Expert,Tout Risque
662,Mercedes,Berline compact,7,31603,94412,9,True,False,30,11,1,0.091,2.65,3.2,Medium Cost,Expert,Tout Risque
663,Volkswagen,Berline compact,7,17308,45791,8,True,False,72,13,0,0.0,2.2,3.6,Medium Cost,Expert,Tout Risque
664,BMW,Citadine,9,21487,214567,13,False,True,36,5,0,0.0,1.95,3.6,Low Cost,Expert,Tiers Plus
665,Mercedes,Berline compact,5,70735,57562,10,True,False,69,46,0,0.0,3.2,3.6,High Cost,Expert,Tout Risque
666,Lexus,Sportive,10,49547,221653,14,False,False,29,10,2,0.2,2.5,2.4,Medium Cost,Modéré,Tiers Plus
667,Audi,Sportive,4,111961,57004,10,False,True,71,53,0,0.0,3.1,3.2,High Cost,Expert,Tout Risque
668,Hyundai,Citadine,5,8035,89856,4,True,False,71,40,0,0.0,1.8,3.6,Low Cost,Expert,Tiers Plus
669,Fiat,SUV,6,17174,70287,6,True,False,46,18,0,0.0,1.95,4.0,Low Cost,Expert,Tiers Plus
670,Chery,Sportive,13,4239,207259,8,False,True,63,29,2,0.069,1.4,2.6,Low Cost,Modéré,Tiers
671,Infiniti,Voiture populaire,12,10503,135071,10,False,False,64,37,0,0.0,1.8,3.8,Low Cost,Expert,Tiers Plus
672,Lexus,Citadine,8,16010,202288,13,False,True,66,40,0,0.0,1.95,3.2,Low Cost,Expert,Tiers Plus
673,Audi,Voiture populaire,8,34477,117644,13,True,False,50,0,0,0.0,2.6,4.0,Medium Cost,Expert,Tout Risque
674,Fiat,Sportive,11,3736,120783,8,False,False,18,0,0,0.0,1.5,3.6,Low Cost,Expert,Tiers Plus
675,Hyundai,Sportive,1,17778,24462,7,True,True,53,26,1,0.038,2.55,2.6,Medium Cost,Modéré,Tiers Plus
676,Renault,Berline executive,8,10760,150046,10,False,True,64,30,1,0.033,1.8,2.6,Low Cost,Modéré,Tiers
677,Porsche,Berline compact,0,259169,0,21,True,True,58,3,0,0.0,4.1,3.4,High Cost,Expert,Tout Risque
678,Lamborghini,Citadine,5,173622,68825,15,False,False,70,6,1,0.167,3.4,2.0,High Cost,À risque,Tiers Plus
679,Porsche,Berline compact,14,69566,300785,24,False,False,61,7,1,0.143,2.65,2.2,Medium Cost,À risque,Tiers
680,Volkswagen,SUV,2,49537,40390,12,True,True,50,9,1,0.111,2.95,2.0,Medium Cost,À risque,Tiers
681,Ferrari,Voiture de luxe,5,82027,64169,19,True,False,46,0,0,0.0,3.75,4.0,High Cost,Expert,Tout Risque
682,Jaguar,Berline compact,4,67102,77113,15,True,True,61,17,1,0.059,3.55,2.6,High Cost,Modéré,Tout Risque
683,Chevrolet,Berline executive,10,10083,144983,6,True,False,48,25,0,0.0,1.85,4.0,Low Cost,Expert,Tiers Plus
684,Mercedes,Berline compact,10,15338,126566,12,False,False,19,1,1,1.0,2.1,1.2,Medium Cost,À risque,Tiers
685,Nissan,Sportive,9,15875,210715,7,True,True,33,14,1,0.071,2.15,2.8,Medium Cost,Modéré,Tiers Plus
686,Nissan,SUV,11,6946,94713,7,False,False,39,4,1,0.25,1.65,2.4,Low Cost,Modéré,Tiers
687,Mercedes,Berline executive,9,34418,156603,13,True,True,32,6,0,0.0,2.7,3.6,Medium Cost,Expert,Tout Risque
688,Bentley,Sportive,14,99326,220017,23,False,True,23,3,0,0.0,2.85,3.6,Medium Cost,Expert,Tout Risque
689,Lamborghini,Voiture de luxe,12,69289,258685,23,True,False,64,3,0,0.0,3.15,3.8,High Cost,Expert,Tout Risque
690,Renault,Sportive,2,69780,18195,13,False,False,31,12,0,0.0,3.15,4.0,High Cost,Expert,Tout Risque
691,Volkswagen,Berline executive,6,26920,39140,8,True,False,54,0,0,0.0,2.55,3.8,Medium Cost,Expert,Tout Risque
692,Lamborghini,Berline executive,13,156674,252867,14,True,True,42,16,1,0.062,3.3,2.8,High Cost,Modéré,Tout Risque
693,Kia,Sportive,13,3742,262895,5,True,True,23,4,2,0.5,1.65,1.2,Low Cost,À risque,Tiers
694,Chery,Sportive,1,18800,25136,8,False,True,74,27,1,0.037,2.3,2.4,Medium Cost,Modéré,Tiers Plus
695,Audi,Break familial,10,29149,148486,11,True,False,21,1,1,1.0,2.65,1.2,Medium Cost,À risque,Tiers
696,Chery,SUV,2,11620,36413,9,True,False,37,17,1,0.059,2.4,3.2,Medium Cost,Expert,Tout Risque
697,Citroën,Voiture populaire,1,28177,21052,9,False,True,29,1,0,0.0,2.55,3.6,Medium Cost,Expert,Tout Risque
698,Fiat,Voiture de luxe,6,9800,140334,9,False,True,63,13,2,0.154,1.7,1.8,Low Cost,À risque,Tiers
699,Audi,Voiture populaire,11,19103,218662,8,True,True,72,21,0,0.0,2.0,3.2,Low Cost,Expert,Tiers Plus
700,Renault,Sportive,5,26233,81686,12,True,True,50,18,1,0.056,2.75,2.8,Medium Cost,Modéré,Tiers Plus
701,Infiniti,Break familial,3,99672,73191,8,False,True,52,33,1,0.03,2.9,2.6,Medium Cost,Modéré,Tiers Plus
702,Dacia,Berline executive,7,4645,88892,9,True,False,45,15,1,0.067,1.9,3.2,Low Cost,Expert,Tiers Plus
703,Maserati,Berline compact,12,105858,187153,23,False,True,39,20,0,0.0,2.65,3.6,Medium Cost,Expert,Tout Risque
704,Peugeot,Voiture de luxe,4,33390,103593,8,True,True,40,10,1,0.1,2.75,2.8,Medium Cost,Modéré,Tiers Plus
705,Kia,Berline executive,13,6843,205664,5,False,False,40,12,0,0.0,1.25,4.0,Low Cost,Expert,Tiers Plus
706,Chevrolet,Voiture de luxe,7,11881,160350,8,True,True,65,19,1,0.053,1.9,2.6,Low Cost,Modéré,Tiers
707,Hyundai,Citadine,10,5847,155540,7,True,False,65,44,0,0.0,1.55,3.8,Low Cost,Expert,Tiers Plus
708,Toyota,Break familial,6,23383,83608,8,True,False,58,1,0,0.0,2.1,3.8,Medium Cost,Expert,Tout Risque
709,Porsche,Sportive,1,235649,18986,24,True,True,23,4,0,0.0,4.3,3.6,High Cost,Expert,Tout Risque
710,Kia,Berline compact,1,7985,14012,5,True,False,36,17,1,0.059,2.35,3.2,Medium Cost,Expert,Tout Risque
711,Toyota,Voiture de luxe,3,64050,56665,13,False,True,53,24,0,0.0,2.85,3.4,Medium Cost,Expert,Tout Risque
712,Peugeot,SUV,11,11815,170063,8,True,True,46,18,2,0.111,1.9,2.0,Low Cost,À risque,Tiers
713,Lexus,SUV,8,26959,154716,11,True,False,51,15,0,0.0,2.65,3.8,Medium Cost,Expert,Tout Risque
714,Renault,Break familial,6,23119,68354,9,False,False,23,0,0,0.0,1.9,4.0,Low Cost,Expert,Tiers Plus
715,Jaguar,Citadine,6,67557,106335,20,True,False,41,19,0,0.0,3.15,4.0,High Cost,Expert,Tout Risque
716,Nissan,Voiture populaire,14,7442,124152,5,True,False,43,3,0,0.0,1.75,4.0,Low Cost,Expert,Tiers Plus
717,Jaguar,Voiture populaire,14,76655,164468,18,True,False,32,1,1,1.0,2.85,1.6,Medium Cost,À risque,Tiers
718,Ford,Berline compact,12,8213,269771,6,False,False,58,7,1,0.143,1.45,2.2,Low Cost,À risque,Tiers
719,Toyota,Berline compact,14,7258,234821,5,False,True,28,2,1,0.5,1.45,1.2,Low Cost,À risque,Tiers
720,Dacia,Voiture populaire,9,3701,149325,6,True,False,73,8,1,0.125,1.65,2.0,Low Cost,À risque,Tiers
721,Renault,Citadine,1,42972,18639,9,True,False,31,9,1,0.111,2.85,2.4,Medium Cost,Modéré,Tiers Plus
722,Volvo,SUV,6,36077,45159,15,False,False,19,0,0,0.0,2.6,3.6,Medium Cost,Expert,Tout Risque
723,Maserati,Voiture de luxe,6,166826,129505,21,True,True,52,17,0,0.0,3.7,3.4,High Cost,Expert,Tout Risque
724,Citroën,Voiture populaire,3,21234,68827,7,False,True,36,14,2,0.143,1.95,2.0,Low Cost,À risque,Tiers
725,Volvo,Break familial,7,55321,133905,11,True,False,72,13,0,0.0,2.65,3.6,Medium Cost,Expert,Tout Risque
726,Nissan,Voiture populaire,5,9711,51560,5,False,False,64,39,2,0.051,1.95,3.0,Low Cost,Modéré,Tiers
727,Bentley,Break familial,1,243646,17803,15,True,True,34,12,2,0.167,4.1,2.0,High Cost,À risque,Tiers Plus
728,Hyundai,Voiture de luxe,10,12105,136985,8,True,False,42,22,1,0.045,2.0,3.2,Low Cost,Expert,Tiers Plus
729,Porsche,Citadine,7,68505,117427,14,False,True,45,2,0,0.0,2.85,3.6,Medium Cost,Expert,Tout Risque
730,Kia,Citadine,12,2157,187771,4,True,True,71,38,1,0.026,1.3,2.4,Low Cost,Modéré,Tiers
731,Chery,Sportive,7,6609,102207,9,False,False,18,0,0,0.0,1.7,3.6,Low Cost,Expert,Tiers Plus
732,Chery,Berline executive,7,6078,88068,9,True,False,57,6,1,0.167,1.9,2.2,Low Cost,À risque,Tiers
733,Bentley,Voiture populaire,10,35135,76622,18,True,False,28,9,0,0.0,3.0,4.0,High Cost,Expert,Tout Risque
734,Lamborghini,Voiture de luxe,1,266886,18821,18,False,True,34,2,0,0.0,4.0,3.6,High Cost,Expert,Tout Risque
735,Citroën,Voiture populaire,2,25542,23040,8,False,False,65,30,0,0.0,2.55,3.8,Medium Cost,Expert,Tout Risque
736,Volvo,Berline executive,11,45750,128788,12,True,False,32,14,3,0.214,2.55,2.4,Medium Cost,Modéré,Tiers Plus
737,Infiniti,Berline compact,14,20805,340899,14,False,True,20,1,1,1.0,1.85,0.8,Low Cost,À risque,Tiers
738,Citroën,Voiture populaire,8,6794,124699,9,True,True,47,19,1,0.053,2.0,2.8,Low Cost,Modéré,Tiers
739,Bentley,Citadine,0,217717,0,23,True,True,46,1,0,0.0,4.0,3.6,High Cost,Expert,Tout Risque
740,Peugeot,Citadine,6,14848,101128,9,False,False,31,7,0,0.0,1.7,4.0,Low Cost,Expert,Tiers Plus
741,Nissan,Berline compact,1,41208,14880,5,True,True,46,19,0,0.0,2.9,3.6,Medium Cost,Expert,Tout Risque
742,Lexus,Voiture de luxe,4,103741,80042,12,True,False,60,16,0,0.0,3.3,3.8,High Cost,Expert,Tout Risque
743,Peugeot,Voiture de luxe,6,33666,93846,9,False,False,56,24,0,0.0,2.25,3.8,Medium Cost,Expert,Tout Risque
744,Hyundai,Berline executive,3,19571,42059,7,True,True,26,4,1,0.25,2.15,2.0,Medium Cost,À risque,Tiers
745,Chery,Break familial,1,10375,9994,4,True,False,55,32,1,0.031,2.3,3.0,Medium Cost,Modéré,Tiers Plus
746,Hyundai,Sportive,0,22643,0,8,False,False,60,31,1,0.032,2.3,3.0,Medium Cost,Modéré,Tiers Plus
747,Ford,Voiture populaire,9,13837,137945,8,False,True,33,1,0,0.0,1.7,3.6,Low Cost,Expert,Tiers Plus
748,Toyota,Break familial,9,11504,103939,6,False,False,66,36,1,0.028,1.75,2.8,Low Cost,Modéré,Tiers
749,Bentley,Break familial,12,99531,191130,18,False,False,47,25,1,0.04,2.65,3.2,Medium Cost,Expert,Tout Risque
750,Infiniti,Sportive,3,104968,77598,12,True,True,23,5,1,0.2,3.4,2.0,High Cost,À risque,Tiers Plus
751,Chevrolet,Citadine,3,16651,77716,6,False,True,46,20,1,0.05,1.65,2.8,Low Cost,Modéré,Tiers
752,Peugeot,Berline executive,8,8281,60819,11,True,False,37,5,2,0.4,2.3,1.6,Medium Cost,À risque,Tiers
753,Dacia,Voiture de luxe,5,17939,84469,8,False,True,72,34,0,0.0,1.9,3.2,Low Cost,Expert,Tiers Plus
754,Renault,Break familial,12,15355,250014,9,False,False,59,33,2,0.061,1.5,3.0,Low Cost,Modéré,Tiers
755,Fiat,Berline compact,13,4332,191395,4,False,True,31,6,0,0.0,1.1,3.6,Low Cost,Expert,Tiers Plus
756,Fiat,Break familial,13,4538,252221,5,False,False,51,0,1,1.0,1.15,1.4,Low Cost,À risque,Tiers
757,BMW,Voiture populaire,12,30564,185087,8,True,True,44,20,2,0.1,2.25,2.8,Medium Cost,Modéré,Tiers Plus
758,Jaguar,Voiture de luxe,11,118837,212089,20,True,True,18,0,1,1.0,3.15,0.8,High Cost,À risque,Tiers Plus
759,Audi,Berline compact,10,18878,96242,14,True,False,24,3,0,0.0,2.45,4.0,Medium Cost,Expert,Tout Risque
760,Citroën,Berline executive,13,9364,262621,10,False,False,34,4,1,0.25,1.6,2.4,Low Cost,Modéré,Tiers
761,Ford,Sportive,5,21675,114368,10,False,True,70,5,1,0.2,2.2,1.6,Medium Cost,À risque,Tiers
762,Hyundai,Break familial,5,7380,94810,4,True,True,32,11,3,0.273,1.9,2.0,Low Cost,À risque,Tiers
763,Chevrolet,Voiture populaire,0,23513,0,5,True,False,19,0,1,1.0,2.25,1.2,Medium Cost,À risque,Tiers
764,BMW,Berline executive,6,48196,128657,15,False,True,32,2,0,0.0,2.5,3.6,Medium Cost,Expert,Tout Risque
765,Lexus,Berline executive,1,134185,12736,18,True,False,48,17,2,0.118,3.9,2.4,High Cost,Modéré,Tout Risque
766,Volkswagen,Sportive,8,17689,144139,11,False,True,24,1,0,0.0,2.0,3.6,Low Cost,Expert,Tiers Plus
767,Hyundai,Berline compact,3,7914,61869,6,False,True,27,2,0,0.0,1.75,3.6,Low Cost,Expert,Tiers Plus
768,Renault,Berline executive,9,15280,186954,10,True,True,44,16,0,0.0,2.1,3.6,Medium Cost,Expert,Tout Risque
769,Maserati,Break familial,10,82867,129371,15,False,False,30,8,1,0.125,2.95,2.4,Medium Cost,Modéré,Tiers Plus
770,Volvo,Citadine,5,23341,45597,10,False,False,54,23,0,0.0,2.3,3.8,Medium Cost,Expert,Tout Risque
771,Chery,Citadine,7,2514,78927,3,False,False,74,23,0,0.0,1.4,3.6,Low Cost,Expert,Tiers Plus
772,Lexus,Break familial,0,63521,0,13,True,False,28,4,0,0.0,3.55,4.0,High Cost,Expert,Tout Risque
773,Kia,Berline compact,6,10498,104330,4,True,True,35,9,0,0.0,1.7,3.6,Low Cost,Expert,Tiers Plus
774,Fiat,Break familial,4,11044,84769,3,True,True,66,28,0,0.0,1.9,3.2,Low Cost,Expert,Tiers Plus
775,Nissan,Berline executive,1,36130,13669,9,True,False,44,14,0,0.0,3.05,4.0,High Cost,Expert,Tout Risque
776,Hyundai,Citadine,6,7702,137561,6,True,True,43,25,0,0.0,1.65,3.6,Low Cost,Expert,Tiers Plus
777,Jaguar,Sportive,0,312857,0,20,True,True,59,18,1,0.056,4.3,2.6,High Cost,Modéré,Tout Risque
778,Lamborghini,Berline executive,0,429048,0,23,True,True,66,25,0,0.0,4.2,3.2,High Cost,Expert,Tout Risque
779,BMW,Citadine,3,66054,50642,13,True,False,33,7,1,0.143,3.15,2.4,High Cost,Modéré,Tout Risque
780,Bentley,Voiture de luxe,13,48751,251569,23,False,True,33,9,0,0.0,2.6,3.6,Medium Cost,Expert,Tout Risque
781,Nissan,Voiture de luxe,6,31964,75031,8,True,False,43,13,0,0.0,2.65,4.0,Medium Cost,Expert,Tout Risque
782,Renault,Berline compact,9,18458,69081,7,False,False,43,10,1,0.1,1.85,3.2,Low Cost,Expert,Tiers Plus
783,BMW,Berline compact,11,39476,216713,11,True,True,50,12,1,0.083,2.35,2.8,Medium Cost,Modéré,Tiers Plus
784,Jaguar,SUV,13,35915,125456,26,False,False,40,14,0,0.0,2.6,4.0,Medium Cost,Expert,Tout Risque
785,Lexus,Sportive,0,84908,0,14,True,True,63,2,0,0.0,3.75,3.4,High Cost,Expert,Tout Risque
786,Citroën,Voiture de luxe,7,38230,141225,10,True,False,63,5,0,0.0,2.55,3.8,Medium Cost,Expert,Tout Risque
787,Renault,Break familial,3,34683,24732,7,True,False,70,50,0,0.0,2.7,3.6,Medium Cost,Expert,Tout Risque
788,Lamborghini,Berline executive,2,379504,27856,24,False,False,22,2,0,0.0,3.9,4.0,High Cost,Expert,Tout Risque
789,Toyota,Berline executive,2,47831,21703,11,False,False,46,5,0,0.0,2.75,4.0,Medium Cost,Expert,Tout Risque
790,Chery,Citadine,4,11001,91904,3,False,True,25,1,0,0.0,1.5,3.6,Low Cost,Expert,Tiers Plus
791,Dacia,SUV,2,20554,19006,7,True,False,63,33,0,0.0,2.45,3.8,Medium Cost,Expert,Tout Risque
792,Volvo,Berline executive,9,43281,136949,13,True,True,18,0,0,0.0,2.8,3.2,Medium Cost,Expert,Tout Risque
793,Kia,Break familial,3,16870,32876,7,True,False,21,1,0,0.0,2.05,3.6,Medium Cost,Expert,Tout Risque
794,Lexus,Citadine,1,44566,10436,13,True,False,68,10,1,0.1,3.2,2.8,High Cost,Modéré,Tout Risque
795,Toyota,Berline compact,14,12536,237801,6,True,True,28,4,1,0.25,1.75,2.0,Low Cost,À risque,Tiers
796,Infiniti,Berline executive,4,66239,94648,13,False,True,31,5,1,0.2,2.95,2.0,Medium Cost,À risque,Tiers
797,Maserati,Berline executive,5,312277,103490,16,True,True,41,22,1,0.045,3.8,2.8,High Cost,Modéré,Tout Risque
798,Lamborghini,Sportive,0,578494,0,20,False,True,39,11,2,0.182,4.0,2.0,High Cost,À risque,Tiers Plus
799,Mercedes,Citadine,13,23593,183872,8,True,True,55,23,0,0.0,2.0,3.4,Low Cost,Expert,Tiers Plus
800,Peugeot,Break familial,7,13490,125413,9,True,False,56,23,0,0.0,2.1,3.8,Medium Cost,Expert,Tout Risque
801,Dacia,Berline executive,1,13423,14898,6,True,True,63,41,0,0.0,2.45,3.4,Medium Cost,Expert,Tout Risque
802,Ford,Berline compact,9,10831,176355,6,False,True,57,22,0,0.0,1.65,3.4,Low Cost,Expert,Tiers Plus
803,Dacia,Berline compact,6,6914,115528,7,True,True,64,32,0,0.0,1.75,3.4,Low Cost,Expert,Tiers Plus
804,Volvo,Berline executive,3,69590,39217,16,True,False,41,7,0,0.0,3.35,4.0,High Cost,Expert,Tout Risque
805,Maserati,Voiture de luxe,11,174494,106931,16,True,False,43,3,0,0.0,3.5,4.0,High Cost,Expert,Tout Risque
806,Volkswagen,Berline executive,12,17007,268924,11,True,True,54,29,0,0.0,1.9,3.4,Low Cost,Expert,Tiers Plus
807,Bentley,Voiture de luxe,6,82803,51248,26,False,False,25,1,1,1.0,3.25,1.6,High Cost,À risque,Tiers Plus
808,Chery,Berline executive,4,12916,63900,11,True,True,43,7,0,0.0,2.2,3.6,Medium Cost,Expert,Tout Risque
809,Nissan,SUV,9,18866,207191,10,False,True,35,12,2,0.167,1.8,2.0,Low Cost,À risque,Tiers
810,Chery,Citadine,11,3914,164522,7,False,True,43,23,0,0.0,1.05,3.6,Low Cost,Expert,Tiers Plus
811,Chery,Berline executive,6,10852,125883,8,True,True,54,12,1,0.083,1.9,2.6,Low Cost,Modéré,Tiers
812,Mercedes,Berline compact,9,17044,203677,8,False,True,67,14,0,0.0,2.0,3.2,Low Cost,Expert,Tiers Plus
813,Peugeot,Berline executive,14,11565,308518,12,False,True,65,35,1,0.029,1.6,2.6,Low Cost,Modéré,Tiers
814,Jaguar,Voiture populaire,0,81293,0,24,False,False,46,20,0,0.0,3.45,4.0,High Cost,Expert,Tout Risque
815,Dacia,SUV,12,11123,231767,11,True,True,47,28,3,0.107,1.6,2.0,Low Cost,À risque,Tiers
816,Maserati,Voiture populaire,7,31881,68110,20,False,False,43,4,0,0.0,2.7,4.0,Medium Cost,Expert,Tout Risque
817,Lamborghini,Voiture populaire,0,182848,0,23,True,True,69,27,2,0.074,4.0,2.4,High Cost,Modéré,Tout Risque
818,Nissan,Sportive,4,37361,102894,8,False,True,62,13,0,0.0,2.45,3.4,Medium Cost,Expert,Tout Risque
819,Audi,Sportive,5,111493,48363,10,False,False,27,8,0,0.0,3.1,4.0,High Cost,Expert,Tout Risque
820,Lexus,Voiture de luxe,14,31375,112748,13,True,False,21,2,0,0.0,2.7,3.6,Medium Cost,Expert,Tout Risque
821,Lamborghini,Break familial,7,166611,75180,13,True,False,20,0,1,1.0,3.6,1.2,High Cost,À risque,Tiers Plus
822,Hyundai,Citadine,1,10824,22890,3,False,True,58,13,0,0.0,1.9,3.4,Low Cost,Expert,Tiers Plus
823,Ford,SUV,8,13695,124801,10,True,True,33,11,0,0.0,2.2,3.6,Medium Cost,Expert,Tout Risque
824,Ford,Berline compact,1,21455,19691,6,False,True,44,23,1,0.043,2.35,2.8,Medium Cost,Modéré,Tiers Plus
825,Bentley,Voiture populaire,9,87835,94190,17,True,False,21,0,0,0.0,3.15,3.6,High Cost,Expert,Tout Risque
826,Porsche,Sportive,3,413930,27570,23,True,False,64,30,1,0.033,4.1,3.0,High Cost,Modéré,Tout Risque
827,Jaguar,Berline compact,2,350762,40347,18,False,True,43,15,1,0.067,3.7,2.8,High Cost,Modéré,Tout Risque
828,Fiat,Voiture populaire,12,7003,292468,6,False,True,47,11,0,0.0,1.05,3.6,Low Cost,Expert,Tiers Plus
829,Renault,Voiture de luxe,2,48078,22455,8,False,False,66,11,1,0.091,2.85,2.8,Medium Cost,Modéré,Tiers Plus
830,Volkswagen,Break familial,7,11959,159057,8,True,True,40,21,1,0.048,2.0,2.8,Low Cost,Modéré,Tiers
831,Nissan,Sportive,14,13472,334214,11,True,True,67,36,2,0.056,2.0,2.4,Low Cost,Modéré,Tiers
832,Toyota,Citadine,13,7327,277950,8,False,True,69,18,0,0.0,1.4,3.2,Low Cost,Expert,Tiers Plus
833,Volkswagen,Sportive,6,45289,84687,13,True,True,22,1,0,0.0,2.6,3.6,Medium Cost,Expert,Tout Risque
834,Dacia,Break familial,8,4820,96716,4,True,False,44,18,1,0.056,1.7,3.2,Low Cost,Expert,Tiers Plus
835,Hyundai,Sportive,0,11781,0,10,True,False,26,0,0,0.0,2.6,4.0,Medium Cost,Expert,Tout Risque
836,Lamborghini,Voiture de luxe,8,132361,75041,22,False,False,36,3,0,0.0,3.5,4.0,High Cost,Expert,Tout Risque
837,Land Rover,SUV,12,103691,231656,28,True,False,61,9,0,0.0,3.05,3.8,High Cost,Expert,Tout Risque
838,Chery,Berline executive,8,3779,122165,11,False,False,63,22,0,0.0,1.6,3.8,Low Cost,Expert,Tiers Plus
839,Chery,Sportive,5,13070,68784,10,True,False,74,28,2,0.071,2.3,2.8,Medium Cost,Modéré,Tiers Plus
840,BMW,Sportive,0,140210,0,13,False,True,58,39,0,0.0,3.7,3.4,High Cost,Expert,Tout Risque
841,Citroën,Citadine,14,6917,256102,9,True,True,69,43,0,0.0,1.7,3.2,Low Cost,Expert,Tiers Plus
842,Hyundai,Berline executive,4,17512,78666,7,False,True,40,8,0,0.0,1.85,3.6,Low Cost,Expert,Tiers Plus
843,Lexus,Citadine,1,42597,19249,13,False,False,59,19,1,0.053,2.9,3.0,Medium Cost,Modéré,Tiers Plus
844,Lexus,Sportive,10,48093,102586,15,True,False,56,17,0,0.0,2.9,3.8,Medium Cost,Expert,Tout Risque
845,Volkswagen,Voiture populaire,10,5218,168405,8,False,True,21,1,0,0.0,1.6,3.2,Low Cost,Expert,Tiers Plus
846,Volvo,Berline compact,13,20834,179238,8,True,False,41,13,0,0.0,2.1,4.0,Medium Cost,Expert,Tout Risque
847,Chery,Berline compact,9,3131,232950,6,True,True,47,23,2,0.087,1.65,2.8,Low Cost,Modéré,Tiers
848,Chevrolet,Citadine,6,5267,111685,6,False,True,45,23,0,0.0,1.35,3.6,Low Cost,Expert,Tiers Plus
849,Land Rover,Voiture de luxe,2,462998,41835,16,True,True,18,0,0,0.0,4.2,3.2,High Cost,Expert,Tout Risque
850,Porsche,SUV,12,57473,240648,26,False,True,56,21,0,0.0,2.5,3.4,Medium Cost,Expert,Tout Risque
851,Hyundai,Voiture de luxe,13,12307,128547,9,False,False,35,11,0,0.0,1.5,4.0,Low Cost,Expert,Tiers Plus
852,Citroën,Sportive,14,12918,196205,9,True,False,26,8,0,0.0,2.0,4.0,Low Cost,Expert,Tiers Plus
853,Kia,Voiture de luxe,14,8531,296732,6,True,True,47,3,1,0.333,1.65,1.2,Low Cost,À risque,Tiers
854,Infiniti,Voiture populaire,8,25857,197345,9,True,True,39,15,1,0.067,2.45,2.8,Medium Cost,Modéré,Tiers Plus
855,Lamborghini,SUV,5,263286,54069,22,False,False,48,11,2,0.182,3.6,2.4,High Cost,Modéré,Tout Risque
856,Citroën,Voiture de luxe,11,15816,96670,12,False,False,27,9,1,0.111,1.8,2.4,Low Cost,Modéré,Tiers
857,Fiat,Berline compact,6,8556,100394,6,False,False,56,33,0,0.0,1.45,3.8,Low Cost,Expert,Tiers Plus
858,Chevrolet,Voiture de luxe,5,6879,77440,8,True,False,67,36,0,0.0,2.3,3.6,Medium Cost,Expert,Tout Risque
859,Ford,Break familial,2,17866,38450,7,True,False,29,0,0,0.0,2.55,4.0,Medium Cost,Expert,Tout Risque
860,Citroën,Berline executive,7,28079,88518,8,True,False,49,9,0,0.0,2.45,4.0,Medium Cost,Expert,Tout Risque
861,Lamborghini,SUV,12,88221,130838,19,False,False,21,0,0,0.0,2.85,3.6,Medium Cost,Expert,Tout Risque
862,Mercedes,Voiture populaire,5,39153,91519,11,True,True,30,3,1,0.333,2.75,1.2,Medium Cost,À risque,Tiers
863,Volkswagen,Sportive,12,20194,154794,9,False,False,19,0,0,0.0,1.7,3.6,Low Cost,Expert,Tiers Plus
864,Bentley,Voiture de luxe,1,486171,17952,26,True,True,64,42,2,0.048,4.3,2.6,High Cost,Modéré,Tout Risque
865,BMW,Break familial,2,90184,41706,12,False,False,56,12,0,0.0,3.1,3.8,High Cost,Expert,Tout Risque
866,Ferrari,Berline executive,4,121583,83311,27,True,True,57,15,1,0.067,3.8,2.6,High Cost,Modéré,Tout Risque
867,Hyundai,SUV,2,21844,39386,10,False,True,24,4,0,0.0,2.1,3.6,Medium Cost,Expert,Tout Risque
868,Ferrari,Citadine,9,25297,203161,14,True,True,28,6,0,0.0,2.8,3.6,Medium Cost,Expert,Tout Risque
869,Renault,Citadine,5,15179,80905,8,True,True,67,15,0,0.0,2.2,3.2,Medium Cost,Expert,Tout Risque
870,BMW,Citadine,6,49784,105452,12,False,True,40,13,1,0.077,2.25,2.8,Medium Cost,Modéré,Tiers Plus
871,Citroën,Berline executive,1,62456,18306,10,False,False,54,32,0,0.0,3.0,3.8,High Cost,Expert,Tout Risque
872,Jaguar,Voiture populaire,14,74672,238303,13,True,True,70,36,0,0.0,2.85,3.2,Medium Cost,Expert,Tout Risque
873,Toyota,Sportive,14,21287,245818,10,False,True,35,0,0,0.0,1.7,3.6,Low Cost,Expert,Tiers Plus
874,Mercedes,Berline executive,5,67860,78730,14,False,True,58,15,0,0.0,3.05,3.4,High Cost,Expert,Tout Risque
875,Citroën,Voiture populaire,6,20789,115368,9,False,True,44,25,1,0.04,1.7,2.8,Low Cost,Modéré,Tiers
876,Nissan,Citadine,9,13643,153807,6,True,True,55,4,2,0.5,1.85,1.0,Low Cost,À risque,Tiers
877,Peugeot,Break familial,1,47027,17205,7,True,False,46,21,1,0.048,2.9,3.2,Medium Cost,Expert,Tout Risque
878,Jaguar,Voiture de luxe,2,515717,38482,16,True,True,50,10,1,0.1,4.2,2.8,High Cost,Modéré,Tout Risque
879,Mercedes,Berline compact,4,90306,75579,13,True,True,44,3,1,0.333,3.25,1.2,High Cost,À risque,Tiers Plus
